,Coefficient(dollars)
Intercept,15879832.935116755
waterfront,596248.4265940877
renovated,56948.07677116817
bedrooms_high,-155250.82709529903
bedrooms_low,36425.39901104518
bathrooms_high,436565.88774527755
bathrooms_low,-90809.52145487718
floors_high,89951.85408788493
floors_low,-32872.095074055636
view_low,-53647.07548935773
view_medium,-117635.6800574195
view_none,-185753.39074193215
condition_high,31251.08510821841
condition_low,-39072.38170836388
grade_excellent,861882.3046257191
grade_fair,-126676.1941193229
grade_good,280924.7676711671
grade_poor,-302896.1065579811
scaled_home_age,295531.9175587749
transformed_sqft_living,-4387102.417665389
transformed_sqft_lot,-38201.63602548891
transformed_sqft_living_sq,318972.6624472358
